Setting,Evaluated Windows,Ignored Windows,Accuracy,Precision,Recall,F1-score,AUC-PR,Positive Windows
y_pred,98455,0,0.7323853537148951,0.5483035431825372,0.8878465774476532,0.6779366825571446,0.5646092041020999,50576
hybrid_or_high_conf,98455,0,0.7323853537148951,0.5483035431825372,0.8878465774476532,0.6779366825571446,0.5223891306819195,50576
hybrid_or_any_rule,98455,0,0.721324462952618,0.5364724415499587,0.8940577575718768,0.670572838498205,0.5132466112063946,52053
hybrid_conservative,98455,0,0.7771469199126505,0.8009196295576712,0.3959467247230582,0.5299196572040707,0.5087521983155534,15441
hybrid_adaptive_balanced,98455,0,0.7846122594078513,0.6126134219746654,0.8732791189088813,0.7200823675387418,0.5751836164785592,44524
hybrid_adaptive_f1,98455,0,0.7646132751002996,0.632903459876645,0.6143625536274573,0.6234951992591751,0.5111723412104131,30319
