Setting,Evaluated Windows,Ignored Windows,Accuracy,Precision,Recall,F1-score,AUC-PR,Positive Windows
rule_any,98455,0,0.7660860291503733,0.7424636481853647,0.4021579048472818,0.521722877554411,0.4882478760555303,16918
rule_high_conf,98455,0,0.7915595957544056,0.993367722918202,0.34526477556508933,0.5124257543359467,0.5506839895897562,10856
rule_soft,98455,0,0.729521101010614,0.6740511114471496,0.2854261381827496,0.40103463787674315,0.41908420322017437,13226
rule_conservative,98455,0,0.7926768574475649,0.977834687389615,0.3545175129666389,0.5203721979416326,0.5514332759730124,11324
