Setting,Evaluated Windows,Ignored Windows,Accuracy,Precision,Recall,F1-score,AUC-PR,Positive Windows
rule_any,98377,78,0.7663783201358041,0.6481262560586357,0.3916770851937846,0.48827733618328767,0.4269657711040088,16918
rule_high_conf,98377,78,0.7930715512772294,0.8517870302137067,0.3303089837470977,0.4760237831716043,0.4719259081053834,10856
rule_soft,98377,78,0.7589578864978602,0.6618781188567973,0.31269869619574925,0.4247349651876471,0.40255275854355976,13226
rule_conservative,98377,78,0.7939254093944723,0.8409572589191099,0.34016788712270046,0.48439685648159925,0.4738341198997489,11324
