Evaluated Windows,Ignored Windows,Accuracy,Precision,Recall,F1-score,AUC-PR,Positive Windows,Direct High Conf,No Rule Mul,Soft Rule Mul,Multi Soft Mul
98377,78,0.48550982445083707,0.33352974103644345,0.8082964443809796,0.4722100565183841,0.3241768334130913,67886,True,1.4,0.85,0.65
98377,78,0.48550982445083707,0.33352974103644345,0.8082964443809796,0.4722100565183841,0.3241768334130913,67886,True,1.4,0.85,0.7
98377,78,0.48550982445083707,0.33352974103644345,0.8082964443809796,0.4722100565183841,0.3241768334130913,67886,True,1.4,0.85,0.75
98377,78,0.48550982445083707,0.33352974103644345,0.8082964443809796,0.4722100565183841,0.3241768334130913,67886,True,1.4,0.85,0.8
98377,78,0.48550982445083707,0.33352974103644345,0.8082964443809796,0.4722100565183841,0.3241768334130913,67886,True,1.4,0.85,0.85
98377,78,0.48549965947325086,0.3335199233998674,0.8082607453948308,0.47219412494655727,0.3241671565068151,67885,True,1.4,0.85,0.9
98377,78,0.48691259135773607,0.33384615384615385,0.8056547194059689,0.4720746349830565,0.3243028673810907,67600,True,1.4,0.95,0.65
98377,78,0.48691259135773607,0.33384615384615385,0.8056547194059689,0.4720746349830565,0.3243028673810907,67600,True,1.4,0.95,0.7
98377,78,0.48691259135773607,0.33384615384615385,0.8056547194059689,0.4720746349830565,0.3243028673810907,67600,True,1.4,0.95,0.75
98377,78,0.48691259135773607,0.33384615384615385,0.8056547194059689,0.4720746349830565,0.3243028673810907,67600,True,1.4,0.95,0.8
98377,78,0.48691259135773607,0.33384615384615385,0.8056547194059689,0.4720746349830565,0.3243028673810907,67600,True,1.4,0.95,0.85
98377,78,0.48690242638014986,0.33383629935354076,0.80561902041982,0.4720586543389359,0.3242931754227693,67599,True,1.4,0.95,0.9
98377,78,0.48596724844221717,0.3335743481532854,0.807011280879623,0.4720351635501822,0.3241501308028974,67769,True,1.4,0.9,0.65
98377,78,0.48596724844221717,0.3335743481532854,0.807011280879623,0.4720351635501822,0.3241501308028974,67769,True,1.4,0.9,0.7
98377,78,0.48596724844221717,0.3335743481532854,0.807011280879623,0.4720351635501822,0.3241501308028974,67769,True,1.4,0.9,0.75
98377,78,0.48596724844221717,0.3335743481532854,0.807011280879623,0.4720351635501822,0.3241501308028974,67769,True,1.4,0.9,0.8
98377,78,0.48596724844221717,0.3335743481532854,0.807011280879623,0.4720351635501822,0.3241501308028974,67769,True,1.4,0.9,0.85
98377,78,0.4875123250353233,0.33398538804665157,0.8045480508353563,0.472023541485585,0.32436054524500235,67479,True,1.4,1.0,0.65
98377,78,0.4875123250353233,0.33398538804665157,0.8045480508353563,0.472023541485585,0.32436054524500235,67479,True,1.4,1.0,0.7
98377,78,0.4875123250353233,0.33398538804665157,0.8045480508353563,0.472023541485585,0.32436054524500235,67479,True,1.4,1.0,0.75
98377,78,0.4875123250353233,0.33398538804665157,0.8045480508353563,0.472023541485585,0.32436054524500235,67479,True,1.4,1.0,0.8
98377,78,0.4875123250353233,0.33398538804665157,0.8045480508353563,0.472023541485585,0.32436054524500235,67479,True,1.4,1.0,0.85
98377,78,0.48595708346463096,0.33356451422500294,0.8069755818934742,0.47201921069116726,0.3241404517744512,67768,True,1.4,0.9,0.9
98377,78,0.48750216005773706,0.33397551794659,0.8045123518492074,0.47200754005655043,0.32435084666543323,67478,True,1.4,1.0,0.9
98377,78,0.48236884637669375,0.3322202205720814,0.8097601028130801,0.4711441597690287,0.32318784552402274,68277,True,1.3,0.85,0.65
98377,78,0.48236884637669375,0.3322202205720814,0.8097601028130801,0.4711441597690287,0.32318784552402274,68277,True,1.3,0.85,0.7
98377,78,0.48236884637669375,0.3322202205720814,0.8097601028130801,0.4711441597690287,0.32318784552402274,68277,True,1.3,0.85,0.75
98377,78,0.48236884637669375,0.3322202205720814,0.8097601028130801,0.4711441597690287,0.32318784552402274,68277,True,1.3,0.85,0.8
98377,78,0.48236884637669375,0.3322202205720814,0.8097601028130801,0.4711441597690287,0.32318784552402274,68277,True,1.3,0.85,0.85
98377,78,0.48235868139910754,0.33221043997890914,0.8097244038269313,0.47112828182120303,0.32317823099158094,68276,True,1.3,0.85,0.9
98377,78,0.4837716132835927,0.3325293053492374,0.8071183778380694,0.4710061143922586,0.32331188741546707,67991,True,1.3,0.95,0.65
98377,78,0.4837716132835927,0.3325293053492374,0.8071183778380694,0.4710061143922586,0.32331188741546707,67991,True,1.3,0.95,0.7
98377,78,0.4837716132835927,0.3325293053492374,0.8071183778380694,0.4710061143922586,0.32331188741546707,67991,True,1.3,0.95,0.75
98377,78,0.4837716132835927,0.3325293053492374,0.8071183778380694,0.4710061143922586,0.32331188741546707,67991,True,1.3,0.95,0.8
98377,78,0.4837716132835927,0.3325293053492374,0.8071183778380694,0.4710061143922586,0.32331188741546707,67991,True,1.3,0.95,0.85
98377,78,0.4837614483060065,0.3325194881600235,0.8070826788519206,0.4709901877044228,0.323302258150618,67990,True,1.3,0.95,0.9
98377,78,0.48282627036807385,0.33226232394366195,0.8084749393117235,0.4709686811130059,0.32316086693601836,68160,True,1.3,0.9,0.65
98377,78,0.48282627036807385,0.33226232394366195,0.8084749393117235,0.4709686811130059,0.32316086693601836,68160,True,1.3,0.9,0.7
98377,78,0.48282627036807385,0.33226232394366195,0.8084749393117235,0.4709686811130059,0.32316086693601836,68160,True,1.3,0.9,0.75
98377,78,0.48282627036807385,0.33226232394366195,0.8084749393117235,0.4709686811130059,0.32316086693601836,68160,True,1.3,0.9,0.8
98377,78,0.48282627036807385,0.33226232394366195,0.8084749393117235,0.4709686811130059,0.32316086693601836,68160,True,1.3,0.9,0.85
98377,78,0.48437134696117995,0.3326653897156328,0.8060117092674568,0.4709538808118312,0.32336868758236537,67870,True,1.3,1.0,0.65
98377,78,0.48437134696117995,0.3326653897156328,0.8060117092674568,0.4709538808118312,0.32336868758236537,67870,True,1.3,1.0,0.7
98377,78,0.48437134696117995,0.3326653897156328,0.8060117092674568,0.4709538808118312,0.32336868758236537,67870,True,1.3,1.0,0.75
