Setting,Accuracy,Precision,Recall,F1-score,Positive Windows,Evaluated Windows
hybrid_adaptive_f1,0.6020110710476868,0.441918232560858,0.9683037715310239,0.6068705353559676,68438,98455
hybrid_adaptive_balanced,0.5877507490731806,0.4335332404854617,0.976692066337965,0.600511811023622,70366,98455
hybrid_or_high_conf,0.5789040678482555,0.4282647434368379,0.9772043286162515,0.5955337892549486,71269,98455
y_pred,0.5787720278299731,0.42808979293681343,0.975667541781392,0.5950790861159929,71186,98455
hybrid_conservative,0.7712457467878726,0.7671409297191218,0.4004930524428507,0.5262515776188473,16306,98455
