Setting,Accuracy,Precision,Recall,F1-score,AUC-PR,Positive Windows
baseline_y_pred,0.5787720278299731,0.42808979293681343,0.975667541781392,0.5950790861159929,0.42539257854364837,71186
baseline_hybrid_adaptive_f1,0.6020110710476868,0.441918232560858,0.9683037715310239,0.6068705353559676,0.4379664465354367,68438
wpca_pct992_OR  [label_dynamic],0.8780559646539028,0.7981085271317829,0.8240699238009861,0.8108814819482074,0.7135095331739548,32250
wpca_pct992_OR  [official_label],0.7555126707632929,0.30046511627906974,0.8651013302383715,0.4460196543232607,0.27527988467746584,32250
wpca_pct992_only [label_dynamic],0.8500330100045707,0.7804952822154853,0.7335915988986361,0.756316944760773,0.6570805506385603,29357
