Evaluated Windows,Ignored Windows,Accuracy,Precision,Recall,F1-score,AUC-PR,Positive Windows,Direct High Conf,No Rule Mul,Soft Rule Mul,Multi Soft Mul
98455,0,0.8076989487583159,0.6584486178736121,0.8183069731702631,0.7297254857175487,0.596453641922836,38817,True,1.2,1.0,0.65
98455,0,0.8076887918338327,0.6584398186314921,0.8182749567778703,0.729707351891506,0.5964355174985335,38816,True,1.2,1.0,0.7
98455,0,0.8076887918338327,0.6584398186314921,0.8182749567778703,0.729707351891506,0.5964355174985335,38816,True,1.2,1.0,0.75
98455,0,0.8076481641358997,0.6584046171287231,0.8181468912082986,0.7296348114096451,0.5963630217260084,38812,True,1.2,1.0,0.8
98455,0,0.8076380072114164,0.6583958156192832,0.8181148748159057,0.7296166749946463,0.5963448982641228,38811,True,1.2,1.0,0.85
98455,0,0.8076075364379666,0.6583694083694084,0.8180188256387271,0.7295622626424145,0.5962905290336936,38808,True,1.2,1.0,0.9
98455,0,0.8074856533441673,0.6580518945634267,0.8184670551322277,0.7295453896863674,0.596183558087632,38848,True,1.2,0.95,0.65
98455,0,0.8074754964196841,0.6580430921306665,0.8184350387398348,0.7295272613119105,0.5961654423450469,38847,True,1.2,0.95,0.7
98455,0,0.8074754964196841,0.6580430921306665,0.8184350387398348,0.7295272613119105,0.5961654423450469,38847,True,1.2,0.95,0.75
98455,0,0.8074348687217511,0.658007877867312,0.8183069731702631,0.7294547426402386,0.5960929813023255,38843,True,1.2,0.95,0.8
98455,0,0.8074247117972678,0.6579990731682199,0.8182749567778703,0.7294366116787487,0.5960748665236244,38842,True,1.2,0.95,0.85
98455,0,0.807394241023818,0.6579726563505754,0.8181789076006916,0.7293822156893526,0.5960205233445093,38839,True,1.2,0.95,0.9
98455,0,0.807241887156569,0.6575969550457772,0.8186591534865851,0.729341966399498,0.5958765868263532,38884,True,1.2,0.9,0.65
98455,0,0.8072317302320857,0.6575881490625723,0.8186271370941922,0.7293238444314503,0.595858481051867,38883,True,1.2,0.9,0.7
98455,0,0.8072317302320857,0.6575881490625723,0.8186271370941922,0.7293238444314503,0.595858481051867,38883,True,1.2,0.9,0.75
98455,0,0.8071911025341526,0.6575529205998096,0.8184990715246206,0.7292513513898992,0.5957860598848844,38879,True,1.2,0.9,0.8
98455,0,0.8071809456096694,0.6575441123514584,0.8184670551322277,0.7292332268370607,0.5957679550759537,38878,True,1.2,0.9,0.85
98455,0,0.8071504748362196,0.6575176848874598,0.818371005955049,0.7291788500763098,0.595713641808156,38875,True,1.2,0.9,0.9
98455,0,0.8068965517241379,0.656957928802589,0.8189152846257284,0.729050279329609,0.5954404541298562,38934,True,1.2,0.85,0.65
98455,0,0.8068863947996546,0.6569491177150489,0.8188832682333355,0.7290321661179757,0.5954223623793439,38933,True,1.2,0.85,0.7
98455,0,0.8068863947996546,0.6569491177150489,0.8188832682333355,0.7290321661179757,0.5954223623793439,38933,True,1.2,0.85,0.75
98455,0,0.8068457671017216,0.6569138688381412,0.8187552026637639,0.7289597081082622,0.595349997312981,38929,True,1.2,0.85,0.8
98455,0,0.8068356101772384,0.656905055487053,0.818723186271371,0.7289415923149283,0.5953319065303866,38928,True,1.2,0.85,0.85
98455,0,0.8068051394037885,0.656878612716763,0.8186271370941922,0.7288872418364002,0.5952776353444328,38925,True,1.2,0.85,0.9
98455,0,0.7846122594078513,0.6126134219746654,0.8732791189088813,0.7200823675387418,0.5751836164785592,44524,True,1.15,1.0,0.65
98455,0,0.784602102483368,0.6126047211553579,0.8732471025164884,0.720065472497591,0.5751665617660895,44523,True,1.15,1.0,0.7
98455,0,0.784602102483368,0.6126047211553579,0.8732471025164884,0.720065472497591,0.5751665617660895,44523,True,1.15,1.0,0.75
98455,0,0.7845614747854349,0.6125699139693165,0.8731190369469168,0.7199978878724275,0.5750983450747303,44519,True,1.15,1.0,0.8
98455,0,0.7845513178609517,0.6125612111954715,0.8730870205545239,0.7199809906009083,0.5750812914415929,44518,True,1.15,1.0,0.85
98455,0,0.7845208470875019,0.6125351005279119,0.8729909713773452,0.7199302961095196,0.5750301318376997,44515,True,1.15,1.0,0.9
98455,0,0.7843989639937027,0.6122994052294917,0.8734392008708459,0.7199197772763858,0.5749566256796937,44555,True,1.15,0.95,0.65
98455,0,0.7843888070692194,0.6122907034160794,0.873407184478453,0.7199028870005806,0.5749395787598051,44554,True,1.15,0.95,0.7
98455,0,0.7843888070692194,0.6122907034160794,0.873407184478453,0.7199028870005806,0.5749395787598051,44554,True,1.15,0.95,0.75
98455,0,0.7843481793712864,0.6122558922558923,0.8732791189088813,0.7198353214398817,0.5748713932407652,44550,True,1.15,0.95,0.8
98455,0,0.7843380224468031,0.6122471884890794,0.8732471025164884,0.7198184289352493,0.5748543474012069,44549,True,1.15,0.95,0.85
98455,0,0.7843075516733533,0.6122210748439815,0.8731510533393098,0.7197677487463711,0.5748032111792486,44546,True,1.15,0.95,0.9
98455,0,0.7841551978061043,0.6119396290731314,0.8736312992252033,0.7197362347510715,0.5746989941300016,44591,True,1.15,0.9,0.65
98455,0,0.7841450408816211,0.6119309262166405,0.8735992828328104,0.7197193500738552,0.5746819561460106,44590,True,1.15,0.9,0.7
98455,0,0.7841450408816211,0.6119309262166405,0.8735992828328104,0.7197193500738552,0.5746819561460106,44590,True,1.15,0.9,0.75
98455,0,0.784104413183688,0.6118961108868255,0.8734712172632387,0.7196518069111052,0.5746138063728263,44586,True,1.15,0.9,0.8
98455,0,0.7840942562592047,0.6118874060782774,0.8734392008708459,0.7196349200068585,0.5745967694702977,44585,True,1.15,0.9,0.85
98455,0,0.784063785485755,0.6118612893095868,0.8733431516936672,0.7195842566212937,0.5745456600607874,44582,True,1.15,0.9,0.9
98455,0,0.7838098623736732,0.6114334356309222,0.8738874303643466,0.7194728171334431,0.5743321194419374,44641,True,1.15,0.85,0.65
98455,0,0.78379970544919,0.6114247311827957,0.8738554139719537,0.719455940111237,0.5743150940445023,44640,True,1.15,0.85,0.7
98455,0,0.78379970544919,0.6114247311827957,0.8738554139719537,0.719455940111237,0.5743150940445023,44640,True,1.15,0.85,0.75
98455,0,0.783759077751257,0.6113899094900976,0.873727348402382,0.719388427573481,0.5742469946207582,44636,True,1.15,0.85,0.8
98455,0,0.7837489208267736,0.6113812030917442,0.8736953320099892,0.719371548326721,0.5742299703063942,44635,True,1.15,0.85,0.85
98455,0,0.7837184500533239,0.6113550815558344,0.8735992828328104,0.7193209079165898,0.5741788986633073,44632,True,1.15,0.85,0.9
98455,0,0.7490833375653853,0.567189364942174,0.8824358071332522,0.6905346494964173,0.5378044317526985,48594,True,1.1,1.0,0.65
98455,0,0.7490731806409019,0.5671804580906715,0.8824037907408593,0.6905182457063399,0.5377885698803834,48593,True,1.1,1.0,0.7
98455,0,0.7490731806409019,0.5671804580906715,0.8824037907408593,0.6905182457063399,0.5377885698803834,48593,True,1.1,1.0,0.75
98455,0,0.7490325529429689,0.5671448270184609,0.8822757251712877,0.6904526264359896,0.5377251248598279,48589,True,1.1,1.0,0.8
98455,0,0.7490223960184856,0.567135918333745,0.8822437087788948,0.6904362205908146,0.5377092642219417,48588,True,1.1,1.0,0.85
98455,0,0.7488700421512366,0.5669305912596401,0.8825958890952168,0.6903918155749509,0.5376160513282171,48625,True,1.1,0.95,0.65
98455,0,0.7489919252450358,0.5671091900792425,0.882147659601716,0.6903870005888322,0.5376616837899324,48585,True,1.1,1.0,0.9
98455,0,0.7488598852267533,0.5669216847647253,0.8825638727028239,0.6903754163640462,0.5376001966297869,48624,True,1.1,0.95,0.7
98455,0,0.7488598852267533,0.5669216847647253,0.8825638727028239,0.6903754163640462,0.5376001966297869,48624,True,1.1,0.95,0.75
98455,0,0.7488192575288203,0.5668860551213493,0.8824358071332522,0.690309815413129,0.5375367803061476,48620,True,1.1,0.95,0.8
98455,0,0.748809100604337,0.5668771467944631,0.8824037907408593,0.6902934141484979,0.5375209268428346,48619,True,1.1,0.95,0.85
98455,0,0.7487786298308872,0.5668504196149415,0.8823077415636806,0.6902442078897933,0.5374733679353713,48616,True,1.1,0.95,0.9
98455,0,0.7486262759636382,0.5666344711370502,0.8827879874495742,0.6902309280931223,0.537402604927869,48661,True,1.1,0.9,0.65
98455,0,0.7486161190391549,0.5666255651459104,0.8827559710571813,0.6902145342578917,0.537386758443924,48660,True,1.1,0.9,0.7
98455,0,0.7486161190391549,0.5666255651459104,0.8827559710571813,0.6902145342578917,0.537386758443924,48660,True,1.1,0.9,0.75
98455,0,0.7485754913412219,0.5665899375205524,0.8826279054876096,0.6901489548128676,0.5373233749797757,48656,True,1.1,0.9,0.8
98455,0,0.7485653344167386,0.5665810296989005,0.8825958890952168,0.6901325589255092,0.5373075297317226,48655,True,1.1,0.9,0.85
98455,0,0.7485348636432888,0.566554304036833,0.882499839918038,0.6900833688005408,0.5372599954709686,48652,True,1.1,0.9,0.9
98455,0,0.7482809405312072,0.5662170762250827,0.8830441185887175,0.6899993745700169,0.5370979041424311,48711,True,1.1,0.85,0.65
98455,0,0.7482707836067238,0.5662081708068158,0.8830121021963245,0.6899829880916641,0.5370820692467178,48710,True,1.1,0.85,0.7
98455,0,0.7482707836067238,0.5662081708068158,0.8830121021963245,0.6899829880916641,0.5370820692467178,48710,True,1.1,0.85,0.75
98455,0,0.7482301559087908,0.5661725454769433,0.8828840366267529,0.6899174380785589,0.5370187321377162,48706,True,1.1,0.85,0.8
98455,0,0.7482199989843076,0.5661636382301611,0.88285202023436,0.6899010495502821,0.5370028984790051,48705,True,1.1,0.85,0.85
98455,0,0.7481895282108577,0.5661369142951008,0.8827559710571813,0.6898518815052042,0.5369553989876097,48702,True,1.1,0.85,0.9
98455,0,0.7382662129907064,0.5548001524176243,0.8857014791573286,0.68224471928678,0.5276475360382624,49863,True,1.05,1.0,0.65
98455,0,0.7382560560662231,0.5547912237776262,0.8856694627649356,0.6822284699615271,0.527632022439576,49862,True,1.05,1.0,0.7
98455,0,0.7382560560662231,0.5547912237776262,0.8856694627649356,0.6822284699615271,0.527632022439576,49862,True,1.05,1.0,0.75
98455,0,0.7382154283682901,0.5547555056360063,0.8855413971953641,0.6821634686528881,0.5275699705904073,49858,True,1.05,1.0,0.8
98455,0,0.7382052714438068,0.5547465752050865,0.8855093808029711,0.6821472173237474,0.5275544582645859,49857,True,1.05,1.0,0.85
98455,0,0.7380529175765578,0.5545556579949493,0.885861561119293,0.6821072872497781,0.5274689767017875,49894,True,1.05,0.95,0.65
98455,0,0.738174800670357,0.5547197817627473,0.8854133316257924,0.6820984609313339,0.5275079228148972,49854,True,1.05,1.0,0.9
98455,0,0.7380427606520745,0.5545467300022047,0.8858295447269001,0.6820910424396317,0.5274534700749725,49893,True,1.05,0.95,0.7
98455,0,0.7380427606520745,0.5545467300022047,0.8858295447269001,0.6820910424396317,0.5274534700749725,49893,True,1.05,0.95,0.75
98455,0,0.7380021329541415,0.5545110144520836,0.8857014791573286,0.6820260591940633,0.5273914461145025,49889,True,1.05,0.95,0.8
98455,0,0.7379919760296583,0.55450208466966,0.8856694627649356,0.6820098123813515,0.5273759407611592,49888,True,1.05,0.95,0.85
98455,0,0.7379615052562084,0.5544752931743009,0.885573413587757,0.6819610695398118,0.5273294262296323,49885,True,1.05,0.95,0.9
98455,0,0.7378091513889594,0.5542759863809333,0.8860536594736506,0.681952589818146,0.5272667603271386,49930,True,1.05,0.9,0.65
98455,0,0.7377989944644762,0.5542670592240982,0.8860216430812576,0.6819363503074061,0.5272512616799809,49929,True,1.05,0.9,0.7
98455,0,0.7377989944644762,0.5542670592240982,0.8860216430812576,0.6819363503074061,0.5272512616799809,49929,True,1.05,0.9,0.75
98455,0,0.737758366766543,0.5542313470205308,0.885893577511686,0.6818713882625463,0.5271892696395004,49925,True,1.05,0.9,0.8
98455,0,0.7377482098420598,0.5542224180754747,0.885861561119293,0.6818551467507824,0.5271737722664944,49924,True,1.05,0.9,0.85
98455,0,0.73771773906861,0.5541956290939685,0.8857655119421144,0.6818064198139363,0.5271272816767959,49921,True,1.05,0.9,0.9
98455,0,0.7374638159565283,0.5538815526210484,0.8863097906127938,0.6817297510281478,0.5269778817679298,49980,True,1.05,0.85,0.65
98455,0,0.7374536590320451,0.5538726265031313,0.8862777742204009,0.6817135187716252,0.5269623943833651,49979,True,1.05,0.85,0.7
