Setting,Evaluated Windows,Ignored Windows,Accuracy,Precision,Recall,F1-score,AUC-PR,Positive Windows
y_pred,98377,78,0.4651493743456296,0.3255978792475298,0.8199343138654862,0.46610453258652706,0.5389130998516279,70541
hybrid_or_high_conf,98377,78,0.46543399371804384,0.32600846701686326,0.8219691560759674,0.46685388132483097,0.3186616477299722,70627
hybrid_or_any_rule,98377,78,0.4615306423249337,0.3251908396946565,0.8288233614165358,0.46710996207510536,0.31826683238353715,71395
hybrid_conservative,98377,78,0.7701088669099485,0.6670588235294118,0.384585177780951,0.4878855124315022,0.4317749848463337,16150
hybrid_adaptive_balanced,98377,78,0.47518220722323307,0.32900871680518956,0.8111523632728831,0.4681377093763521,0.32064892960503544,69062
hybrid_adaptive_f1,98377,78,0.4875123250353233,0.33398538804665157,0.8045480508353563,0.472023541485585,0.32436054524500235,67479
