Setting,Evaluated Windows,Ignored Windows,Accuracy,Precision,Recall,F1-score,AUC-PR,Positive Windows
y_pred,98377,78,0.46008721550768983,0.3235508976988565,0.8226826218967673,0.4644423606279682,0.5284327159563962,71182
hybrid_or_high_conf,98377,78,0.46034133994734544,0.32393180383077247,0.8246115377746026,0.46514205117872254,0.3170279428393561,71265
hybrid_or_any_rule,98377,78,0.4572715167163056,0.3233301334223743,0.8301482407572781,0.46539570650432555,0.31674640986689717,71877
hybrid_conservative,98377,78,0.7694481433668439,0.662946154789648,0.38614038221110913,0.48802510101352115,0.4306754214151265,16306
hybrid_adaptive_balanced,98377,78,0.46750764914563364,0.3266918682318165,0.8211466333273799,0.46742103069305924,0.3191579705082138,70366
hybrid_adaptive_f1,98377,78,0.4791160535491019,0.33015283906601595,0.8071084122164672,0.4686155154355874,0.32136001269294284,68438
